Time,tmpc_max,dwpc_max,mslp_max,wdir_max,wspd_max,skct_max,pr1h_max,tmpc_min,dwpc_min,mslp_min,wdir_min,wspd_min,skct_min,pr1h_min,tmpc_mean,dwpc_mean,mslp_mean,wdir_mean,wspd_mean,skct_mean,pr1h_mean,tmpc_total,dwpc_total,mslp_total,wdir_total,wspd_total,skct_total,pr1h_total
2010-01-23,2.2,0.6,1014.6,340.0,7.7,8.0,0.0,0.0,-1.1,1007.0,10.0,1.5,8.0,0.0,0.9473684210526315,-0.46842105263157885,1011.7315789473683,50.526315789473685,4.2789473684210515,8.0,0.0,18.0,-8.899999999999999,19222.899999999998,960.0,81.29999999999998,152.0,0.0
2010-01-24,6.7,5.6,1015.1,150.0,7.7,9.0,0.0,1.1,0.0,1004.2,100.0,3.1,8.0,0.0,3.547368421052632,2.789473684210526,1010.3315789473686,126.84210526315789,4.947368421052633,8.736842105263158,0.0,67.4,53.0,19196.300000000003,2410.0,94.00000000000001,166.0,0.0
2010-01-25,8.3,6.7,997.9,270.0,11.3,8.0,2.8,2.8,1.1,990.7,130.0,3.1,8.0,0.0,6.247368421052631,4.542105263157896,994.1888888888888,205.78947368421052,7.242105263157894,8.0,0.3526315789473684,118.69999999999999,86.30000000000001,17895.399999999998,3910.0,137.6,152.0,6.699999999999999
2010-01-26,-0.6,-3.3,1001.8,290.0,12.4,8.0,0.0,-3.0,-6.1,995.4,220.0,3.6,8.0,0.0,-1.0736842105263158,-4.347368421052631,996.5124999999999,248.94736842105263,7.826315789473685,8.0,0.0,-20.4,-82.6,15944.199999999999,4730.0,148.70000000000002,152.0,0.0
2010-01-27,-6.1,-9.4,1021.0,290.0,12.4,8.0,0.0,-9.4,-13.3,1005.4,260.0,6.2,8.0,0.0,-7.905263157894736,-11.984210526315787,1013.5526315789474,273.1578947368421,9.026315789473681,8.0,0.0,-150.2,-227.69999999999993,19257.5,5190.0,171.49999999999994,152.0,0.0
2010-01-28,-1.1,-2.8,1026.0,280.0,5.7,9.0,0.5,-10.6,-13.3,1022.5,200.0,2.6,0.0,0.0,-6.321052631578948,-9.73684210526316,1023.7421052631578,235.26315789473685,4.08421052631579,3.210526315789474,0.02631578947368421,-120.10000000000001,-185.00000000000003,19451.1,4470.0,77.60000000000001,61.0,0.5
2010-01-29,-3.9,-7.8,1033.6,350.0,7.7,7.0,0.0,-13.9,-17.8,1023.6,290.0,3.6,0.0,0.0,-10.352631578947369,-15.268421052631577,1030.0631578947366,305.2631578947368,5.621052631578946,0.3684210526315789,0.0,-196.70000000000002,-290.09999999999997,19571.199999999997,5800.0,106.79999999999998,7.0,0.0
2010-01-30,-7.8,-12.8,1034.7,360.0,6.7,4.0,0.0,-12.8,-18.3,1028.3,10.0,2.1,0.0,0.0,-10.72631578947369,-16.04736842105263,1032.3210526315788,63.1578947368421,4.3157894736842115,0.42105263157894735,0.0,-203.8000000000001,-304.9,19614.1,1200.0,82.00000000000001,8.0,0.0
2010-01-31,-5.0,-11.7,1024.7,50.0,8.2,2.0,0.0,-11.1,-15.0,1022.4,10.0,2.1,0.0,0.0,-8.357894736842104,-13.505263157894738,1023.321052631579,37.36842105263158,5.305263157894736,0.10526315789473684,0.0,-158.79999999999998,-256.6,19443.100000000002,710.0,100.79999999999997,2.0,0.0
2010-02-01,-2.8,-9.4,1026.9,300.0,5.1,8.0,0.0,-15.0,-17.2,1024.1,0.0,0.0,0.0,0.0,-8.531578947368423,-12.726315789473682,1025.6631578947367,223.1578947368421,2.605263157894737,0.631578947368421,0.0,-162.10000000000005,-241.79999999999995,19487.6,4240.0,49.50000000000001,12.0,0.0
2010-02-02,1.1,-4.4,1027.4,150.0,4.1,8.0,0.0,-10.6,-13.3,1022.5,0.0,0.0,0.0,0.0,-4.178947368421054,-8.657894736842104,1025.7263157894733,110.52631578947368,2.310526315789474,0.7368421052631579,0.0,-79.40000000000002,-164.49999999999997,19488.799999999996,2100.0,43.900000000000006,14.0,0.0
2010-02-03,1.1,-2.2,1019.7,290.0,7.2,8.0,0.0,-2.2,-5.0,1016.6,80.0,1.5,8.0,0.0,-0.6105263157894737,-3.8473684210526304,1017.8947368421051,189.47368421052633,3.5789473684210535,8.0,0.0,-11.6,-73.09999999999998,19339.999999999996,3600.0,68.00000000000001,152.0,0.0
2010-02-04,-2.2,-6.1,1029.0,320.0,6.2,8.0,0.0,-7.2,-10.0,1022.7,0.0,0.0,4.0,0.0,-4.989473684210526,-8.031578947368422,1025.9315789473683,219.47368421052633,3.115789473684211,7.7368421052631575,0.0,-94.8,-152.6,19492.699999999997,4170.0,59.20000000000001,147.0,0.0
2010-02-05,1.7,-2.8,1029.1,110.0,5.1,7.0,0.0,-6.1,-7.8,1023.0,60.0,2.1,0.0,0.0,-2.194736842105262,-5.036842105263158,1027.078947368421,87.36842105263158,3.6263157894736846,0.3684210526315789,0.0,-41.69999999999998,-95.7,19514.5,1660.0,68.9,7.0,0.0
2010-02-06,0.6,-1.1,1020.5,80.0,13.9,9.0,0.8,-0.6,-2.2,1006.9,30.0,3.6,7.0,0.0,0.0631578947368421,-1.6736842105263157,1013.2105263157897,53.68421052631579,7.363157894736842,8.0,0.25789473684210523,1.1999999999999997,-31.799999999999997,19251.000000000004,1020.0,139.9,152.0,4.8999999999999995
2010-02-07,0.0,-2.2,1021.1,360.0,13.9,8.0,0.0,-4.4,-8.9,1008.2,10.0,6.2,0.0,0.0,-2.4631578947368418,-6.226315789473685,1015.3157894736842,68.42105263157895,10.305263157894736,5.368421052631579,0.0,-46.8,-118.30000000000003,19291.0,1300.0,195.79999999999998,102.0,0.0
2010-02-08,-3.3,-8.9,1023.7,350.0,3.6,8.0,0.0,-8.9,-12.2,1021.1,0.0,0.0,0.0,0.0,-6.663157894736843,-10.410526315789475,1022.2947368421054,97.36842105263158,2.2263157894736847,2.3157894736842106,0.0,-126.60000000000001,-197.80000000000004,19423.600000000002,1850.0,42.30000000000001,44.0,0.0
2010-02-09,-3.3,-7.2,1023.2,120.0,5.1,8.0,0.0,-10.6,-12.8,1019.2,60.0,2.6,0.0,0.0,-6.5473684210526315,-9.542105263157895,1021.3263157894737,95.78947368421052,3.8631578947368426,6.105263157894737,0.0,-124.39999999999999,-181.3,19405.2,1820.0,73.4,116.0,0.0
2010-02-10,-5.0,-6.7,1017.3,270.0,11.3,9.0,1.0,-12.2,-15.0,1010.1,50.0,1.5,0.0,0.0,-7.8999999999999995,-10.015789473684212,1012.7555555555555,157.89473684210526,5.789473684210526,7.7368421052631575,0.16842105263157892,-150.1,-190.3,18229.6,3000.0,109.99999999999999,147.0,3.1999999999999993
2010-02-11,-3.9,-6.1,1021.7,320.0,12.4,8.0,0.0,-8.3,-11.7,1010.7,280.0,3.1,0.0,0.0,-5.321052631578948,-8.421052631578949,1017.0277777777778,298.42105263157896,8.947368421052628,6.421052631578948,0.0,-101.10000000000001,-160.00000000000003,18306.5,5670.0,169.99999999999994,122.0,0.0
2010-02-12,-6.1,-10.0,1023.6,300.0,3.6,0.0,0.0,-17.8,-20.0,1020.1,240.0,1.5,0.0,0.0,-12.305263157894737,-15.089473684210526,1022.1157894736842,260.0,2.5789473684210535,0.0,0.0,-233.8,-286.7,19420.2,4940.0,49.000000000000014,0.0,0.0
